,3/1/20,3/15/20,4/1/20,4/15/20,5/1/20,5/15/20,6/1/20,6/15/20,7/1/20,7/15/20,8/1/20,8/15/20,9/1/20,9/15/20,10/1/20,10/15/20,11/1/20,11/15/20,12/1/20,12/15/20,1/1/21,1/15/21,2/1/21,2/15/21,3/1/21,3/15/21,4/1/21,4/15/21,5/1/21,5/15/21,6/1/21,6/15/21,7/1/21,7/15/21,8/1/21,8/15/21,9/1/21,9/15/21,10/1/21,10/15/21,11/1/21,11/15/21,12/1/21,12/15/21,1/1/22,1/15/22,2/1/22,2/15/22,3/1/22,3/15/22,4/1/22,4/15/22,5/1/22,5/15/22,6/1/22,6/15/22,7/1/22,7/15/22,8/1/22,8/15/22,9/1/22,9/15/22,10/1/22,10/15/22,11/1/22,11/15/22,12/1/22,12/15/22,1/1/23,1/15/23,2/1/23,2/15/23,UID,iso2,iso3,code3,FIPS,Admin2,Province_State,Country_Region,Lat,Long_,Combined_Key,GEOID
0,0,0,10,24,43,100,237,371,562,785,1064,1252,1442,1601,1799,1958,2182,2456,2818,3426,4239,5103,5683,6024,6270,6471,6595,6748,6907,7001,7150,7230,7257,7329,7563,8025,8798,9371,9761,9883,10258,10407,10527,10641,11018,12180,14782,15350,15520,15571,15655,15752,15827,15863,15969,16174,16562,17037,17468,17723,18125,18303,18396,18452,18511,18571,18680,18847,18961,19318,19530,19686,84001001,US,USA,840,1001.0,Autauga,Alabama,US,32.53952745,-86.64408227,"Autauga, Alabama, US",01001
1,0,1,26,100,180,253,299,377,739,1588,3194,3923,4563,4964,5981,6313,6974,7646,9051,11061,13823,16002,18211,19136,19758,20210,20523,20674,20966,21392,21661,21833,22027,22556,25399,29094,33270,35347,36491,37044,37425,37875,38123,38413,39911,44353,52881,54545,54987,55196,55414,55547,55643,55862,56580,57554,58983,60478,61967,63022,64672,65353,65653,65819,65973,66213,66730,67221,67496,68518,69187,69521,84001003,US,USA,840,1003.0,Baldwin,Alabama,US,30.72774991,-87.72207058,"Baldwin, Alabama, US",01003
2,0,0,0,13,42,79,177,243,337,462,611,672,763,807,900,966,1062,1128,1189,1292,1517,1712,1956,2044,2116,2195,2227,2262,2302,2320,2337,2346,2346,2377,2509,2750,3086,3346,3495,3553,3601,3648,3700,3719,3860,4437,5276,5413,5445,5463,5656,5658,5668,5681,5710,5769,5899,6092,6308,6453,6757,6873,6896,6910,6930,6950,6980,7007,7027,7188,7339,7431,84001005,US,USA,840,1005.0,Barbour,Alabama,US,31.868263,-85.3871286,"Barbour, Alabama, US",01005
3,0,0,3,19,41,51,78,113,181,248,373,481,562,601,671,769,883,986,1204,1504,1854,2130,2309,2397,2450,2499,2543,2560,2596,2645,2665,2682,2693,2713,2904,3120,3510,3889,4146,4216,4281,4317,4348,4388,4533,5046,6130,6331,6375,6402,6418,6428,6442,6457,6508,6583,6714,6825,6947,7070,7394,7481,7526,7547,7575,7604,7637,7668,7692,7855,7967,8049,84001007,US,USA,840,1007.0,Bibb,Alabama,US,32.99642064,-87.12511459999996,"Bibb, Alabama, US",01007
4,0,0,7,21,41,48,66,121,221,426,820,1014,1336,1504,1644,1796,2128,2549,3061,3881,4693,5264,5720,5973,6102,6353,6446,6511,6616,6771,6887,6938,6987,7059,7362,7803,8631,9272,9842,10081,10408,10536,10739,10904,11256,12068,14096,14575,14772,14879,14900,14959,14980,15005,15077,15177,15383,15699,15998,16209,16597,16793,16912,17256,17320,17386,17500,17648,17731,18057,18349,18554,84001009,US,USA,840,1009.0,Blount,Alabama,US,33.98210918,-86.56790593,"Blount, Alabama, US",01009
5,0,0,2,8,14,32,211,306,358,380,441,500,566,581,611,630,653,677,701,733,888,981,1089,1142,1169,1193,1207,1215,1230,1232,1233,1242,1249,1251,1265,1302,1392,1456,1507,1517,1526,1523,1525,1538,1676,1922,2242,2268,2279,2282,2303,2304,2318,2319,2337,2366,2446,2550,2623,2660,2750,2788,2802,2813,2818,2845,2853,2871,2886,2939,2991,3017,84001011,US,USA,840,1011.0,Bullock,Alabama,US,32.10030533,-85.71265535,"Bullock, Alabama, US",01011
6,0,0,1,11,68,254,414,545,602,659,756,799,867,892,917,985,1025,1087,1186,1332,1522,1679,1827,1905,1968,2066,2103,2128,2154,2190,2220,2240,2262,2289,2408,2584,2831,3058,3208,3239,3353,3391,3442,3480,3613,4073,4806,5002,5037,5043,5051,5056,5064,5068,5091,5154,5255,5401,5547,5684,5920,6021,6051,6055,6059,6072,6102,6153,6185,6318,6449,6503,84001013,US,USA,840,1013.0,Butler,Alabama,US,31.75300095,-86.68057478,"Butler, Alabama, US",01013
7,0,0,11,66,97,135,172,203,288,663,1541,2000,2606,3106,3597,3992,4913,5608,6598,7966,9584,10982,12062,12725,13300,14105,14227,14330,14447,14569,14637,14714,14776,14863,15401,16291,17999,19621,21599,22125,22350,22485,22610,22737,23411,25325,30215,31247,31753,32295,32353,32363,32399,32453,32596,32792,33313,33921,34553,35055,36113,36775,38211,38420,38545,38716,39001,39296,39458,40193,40813,41101,84001015,US,USA,840,1015.0,Calhoun,Alabama,US,33.77483727,-85.82630386,"Calhoun, Alabama, US",01015
8,0,0,51,229,295,335,373,488,609,732,869,927,1040,1097,1175,1258,1397,1570,1827,2040,2366,2778,3210,3325,3413,3457,3489,3513,3544,3590,3671,3724,3736,3776,3949,4263,4768,5155,5479,5558,5786,5809,5790,5849,6171,7054,8213,8383,8433,8448,8468,8478,8486,8508,8551,8612,8834,9077,9388,9608,9870,9952,9985,10008,10039,10078,10155,10264,10311,10545,10705,10776,84001017,US,USA,840,1017.0,Chambers,Alabama,US,32.91360079,-85.39072749,"Chambers, Alabama, US",01017
9,0,0,1,10,16,25,38,52,82,149,254,337,419,510,616,694,786,908,1051,1213,1429,1596,1707,1745,1770,1791,1810,1825,1837,1846,1864,1872,1874,1899,1992,2153,2481,2756,2942,2994,3069,3120,3186,3243,3385,3719,4851,5017,5086,5105,5112,5120,5126,5131,5157,5196,5268,5382,5528,5650,5888,5968,6008,6029,6060,6100,6262,6397,6456,6590,6688,6725,84001019,US,USA,840,1019.0,Cherokee,Alabama,US,34.17805983,-85.60638968,"Cherokee, Alabama, US",01019
